NAZEV;Pb;Zn
benesov;2,292534757;2,694627181
benesov;2,895911938;2,694627181
benesov;2,388762789;2,694627181
benesov;2,332143895;2,694627181
benesov;2,509599262;2,694627181
benesov;2,128231706;2,694627181
benesov;2,370243741;2,694627181
benesov;2,949688335;2,694627181
benesov;2,4765384;2,701361213
benesov;2,87356464;2,701361213
benesov;2,525728644;2,701361213
benesov;2,617395833;2,701361213
benesov;2,32238772;2,701361213
benesov;2,549445171;2,701361213
benesov;2,341805806;2,701361213
benesov;2,525728644;2,701361213
benesov;2,541601993;2,701361213
benesov;3,04927304;2,701361213
benesov;2,928523524;2,708050201
benesov;2,766319109;2,708050201
benesov;2,653241965;2,708050201
benesov;2,240709689;2,708050201
benesov;2,424802726;2,708050201
benesov;2,727852828;2,708050201
benesov;2,587764035;2,708050201
benesov;2,261763098;2,708050201
benesov;2,445819261;2,711377991
benesov;2,701361213;2,714694744
benesov;2,734367509;2,714694744
benesov;2,240709689;2,714694744
benesov;2,821378886;2,714694744
benesov;2,753660712;2,714694744
benesov;2,58021683;2,714694744
benesov;2,351375257;2,714694744
benesov;2,151762203;2,714694744
benesov;2,451005098;2,714694744
benesov;2,667228207;2,721295428
benesov;2,351375257;2,721295428
benesov;2,451005098;2,721295428
benesov;3,034952987;2,721295428
benesov;2,646174797;2,721295428
benesov;2,753660712;2,721295428
benesov;2,595254707;2,721295428
benesov;2,442347035;2,721295428
benesov;2,818398258;2,726544784
benesov;2,406945108;2,727852828
benesov;2,980618636;2,727852828
benesov;2,406945108;2,727852828
benesov;2,48490665;2,727852828
benesov;2,451005098;2,727852828
benesov;2,292534757;2,727852828
benesov;2,708050201;2,727852828
benesov;2,587764035;2,727852828
benesov;2,219203484;2,727852828
benesov;2,406945108;2,727852828
benesov;2,833213344;2,734367509
benesov;2,163323026;2,734367509
benesov;2,778819272;2,734367509
benesov;2,701361213;2,734367509
benesov;2,797281335;2,734367509
benesov;2,980618636;2,734367509
benesov;3,165475048;2,740840024
benesov;1,916922612;2,740840024
benesov;2,867898902;2,740840024
benesov;2,459588842;2,740840024
benesov;2,251291799;2,740840024
benesov;2,839078464;2,740840024
benesov;2,985681938;2,740840024
benesov;2,360854001;2,747270914
benesov;2,839078464;2,747270914
benesov;2,595254707;2,747270914
benesov;2,63905733;2,747270914
benesov;2,541601993;2,747270914
benesov;2,602689685;2,753660712
benesov;3,04927304;2,753660712
benesov;2,939161922;2,753660712
benesov;2,694627181;2,753660712
benesov;2,240709689;2,753660712
benesov;2,990719732;2,753660712
benesov;2,646174797;2,753660712
benesov;2,57261223;2,753660712
benesov;2,667228207;2,76000994
benesov;2,509599262;2,76000994
benesov;2,714694744;2,76000994
benesov;2,912350665;2,76000994
benesov;2,509599262;2,76000994
benesov;2,282382386;2,766319109
benesov;2,140066163;2,766319109
benesov;2,701361213;2,766319109
benesov;2,747270914;2,766319109
benesov;2,091864062;2,766319109
benesov;2,675527009;2,770711962
benesov;2,862200881;2,772588722
benesov;2,041220329;2,772588722
benesov;2,867898902;2,772588722
benesov;2,694627181;2,772588722
benesov;2,791165108;2,772588722
benesov;2,747270914;2,772588722
benesov;2,667228207;2,772588722
benesov;2,687847494;2,772588722
benesov;2,272125886;2,772588722
benesov;2,63905733;2,772588722
benesov;2,772588722;2,772588722
benesov;2,517696473;2,772588722
benesov;2,624668592;2,778819272
benesov;2,63188884;2,778819272
benesov;2,442347035;2,778819272
benesov;2,312535424;2,778819272
benesov;2,766319109;2,778819272
benesov;2,517696473;2,778819272
benesov;2,272125886;2,778819272
benesov;2,451005098;2,778819272
benesov;3,109060959;2,778819272
benesov;2,687847494;2,785011242
benesov;2,557227311;2,785011242
benesov;2,459588842;2,785011242
benesov;2,850706502;2,785011242
benesov;2,302585093;2,785011242
benesov;2,468099531;2,785011242
benesov;2,397895273;2,785011242
benesov;2,687847494;2,785011242
benesov;2,653241965;2,785011242
benesov;2,624668592;2,785011242
benesov;2,442347035;2,785011242
benesov;2,468099531;2,785011242
benesov;2,549445171;2,785011242
benesov;3,044522438;2,791165108
benesov;2,509599262;2,791165108
benesov;3,161246712;2,791165108
benesov;3,044522438;2,791165108
benesov;2,517696473;2,791165108
benesov;2,646174797;2,791165108
benesov;2,379546134;2,791165108
benesov;3,025291076;2,791165108
benesov;2,624668592;2,797281335
benesov;2,727852828;2,797281335
benesov;2,708050201;2,797281335
benesov;2,186051277;2,797281335
benesov;2,595254707;2,797281335
benesov;2,76000994;2,797281335
benesov;2,302585093;2,797281335
benesov;2,493205453;2,797281335
benesov;2,93385687;2,803360381
benesov;3,39785848;2,803360381
benesov;2,595254707;2,803360381
benesov;2,747270914;2,803360381
benesov;2,76000994;2,803360381
benesov;2,442347035;2,803360381
benesov;2,990719732;2,803360381
